variable_id,mz,rt,QC_001,QC_002,QC_003,QC_004,QC_005,QC_006,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,QC_008,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020,MT_021,QC_009,MT_022,MT_023,MT_024,MT_025,MT_026,MT_027,QC_010,WT_001,MT_028,MT_029,MT_030,MT_031,MT_032,MT_033,MT_034,QC_011,WT_002,MT_035,MT_036,MT_037,MT_038,MT_039,MT_040,MT_041,MT_042,MT_043,MT_044,MT_045,QC_012,MT_046,MT_047,MT_048,MT_049,MT_050,MT_051,MT_052,MT_053,MT_054,MT_055,QC_013,MT_056,MT_057,MT_058,MT_059,MT_060,MT_061,MT_062,MT_063,MT_064,QC_014,MT_065,MT_066,MT_067,MT_068,MT_069,MT_070,MT_071,MT_072,QC_015,MT_073,MT_074,MT_075,MT_076,MT_077,MT_078,MT_079,MT_080,MT_081,MT_082,QC_016,MT_083,MT_084,MT_085,MT_086,MT_087,MT_088,MT_089,MT_090,MT_091,MT_092,MT_093,MT_094,MT_095,QC_017,MT_096,MT_097,MT_098,MT_099,MT_100,MT_101,MT_102,MT_103,MT_104,MT_105,MT_106,QC_018,MT_107,MT_108,MT_109,MT_110,MT_111,MT_112,MT_113,QC_019,MT_114,MT_115,MT_116,MT_117,MT_118,MT_119,MT_120,MT_121,QC_020,MT_122,MT_123,MT_124,MT_125,MT_126,WT_003,MT_127,MT_128,MT_129,MT_130,QC_021,MT_131,MT_132,MT_133,MT_134,MT_135,MT_136,MT_137,MT_139,MT_140,QC_022,MT_141,MT_142,MT_138,MT_143,MT_144,MT_145,MT_146,QC_023,MT_147,MT_148,MT_149,MT_150,MT_151,MT_152,MT_153,QC_024,WT_004,MT_154,MT_155,MT_156,MT_157,MT_158,MT_159,MT_160,MT_161,MT_162,MT_163,QC_025,MT_164,MT_165,MT_166,WT_005,MT_167,MT_168,MT_169,MT_170,MT_171,MT_172,MT_173,MT_174,QC_026,MT_175,MT_176,MT_177,MT_178,WT_006,MT_179,MT_180,MT_181,MT_182,MT_183,MT_184,MT_185,QC_027,MT_186,MT_187,MT_188,MT_189,MT_190,MT_191,QC_028,MT_192,MT_193,MT_194,MT_195,MT_196,MT_197,MT_198,MT_199,QC_029,WT_007,MT_200,MT_201,MT_202,MT_203,MT_204,MT_205,MT_206,QC_030
Met_pos_136,697.5219727,6.0030503,74,21191,98,507,1655,2329,4772,5123,2421,5642,7476,6056,4326,389,7123,4205,2181,5202,26714,5981,350,9344,7151,3504,4798,373,6653,640,1113,4015,6611,6100,2592,4091,7015,14937,2208,3158,3415,4912,198,4105,3763,5105,25859,2338,4264,253,5697,2898,5266,6254,4682,31,5540,4066,296,13085,13850,7485,5149,2897,2672,8192,2758,5937,630,2579,69,3922,3192,276,344,7303,1079,2248,548,281,26534,4778,7004,2996,3749,4080,2452,101,5055,22764,818,2957,1875,4326,1691,227,3474,5511,6579,4288,23065,786,8667,3772,3839,9041,2433,2450,2480,324,682,3885,3458,1894,21529,4202,3088,5750,5738,5455,3407,206,7429,126,291,6205,497,5500,6713,103,4001,4529,287,3547,25857,119,2671,1654,6557,5861,3203,3035,760,21541,626,2599,3808,7965,3432,246,822,11386,3516,5104,24347,5338,3721,1775,827,4176,2860,3049,1102,2393,1459,4452,1788,1334,1265,1879,3866,6509,22987,10723,10690,6514,6948,1057,3328,4898,108,5490,3912,1575,2830,5128,5965,6578,1907,4011,10500,1970,27161,3934,4500,468,1836,5104,4070,5327,5348,60,2787,5140,6360,23954,5352,4851,5054,3113,5818,5336,2874,3319,2058,2723,5123,77,32041,4788,558,2050,3040,243,763,23951,6152,5029,953,615,3880,2138,3641,349,27350,5899,4945,930,5019,2896,90,1783,3487,242
Met_pos_1360,255.1590881,11.82083707,9331,NA,5197,5523,4218,6319,4377,734,2327,332,2294,1029,1533,1604,NA,2644,NA,1590,4303,126,966,1795,1827,1557,1625,2428,1341,116,4959,1877,1911,1479,1178,762,1332,7094,1537,419,1026,1055,51,1063,1702,2524,5049,3381,1458,NA,2641,1035,2992,500,1037,1685,980,1470,2520,5236,214,1951,2568,2197,2359,1156,3452,1723,381,1156,4774,1898,1432,2099,795,1086,1398,3653,1088,1581,5968,2292,1978,2792,480,527,1812,1710,719,5035,1443,1830,1897,1248,1560,399,1557,1464,1290,2217,6257,1012,2752,795,3047,NA,1036,663,856,720,2173,1257,1389,859,4833,1225,NA,1401,931,1702,742,838,565,2310,2038,1571,4434,815,233,1809,304,736,1434,2555,5143,1042,1208,1389,2281,2781,771,1405,1199,4557,370,1911,1096,1095,1398,939,3121,1862,2702,1183,5164,853,NA,675,2436,1645,975,1092,955,1000,6117,1663,381,1677,2195,2149,1044,1963,5357,1768,1692,1568,1238,2271,859,2378,5548,1483,1681,887,2400,980,2010,1561,1340,2157,2041,1329,3966,754,1349,1391,1693,2408,757,1076,2649,2842,2568,1564,1736,6141,587,1730,245,1774,1660,1175,1380,1988,2742,2502,1924,181,4785,948,911,1255,1174,2001,3660,4305,1234,2663,2408,1625,1985,1700,1134,1031,6349,1109,1341,2870,1169,1393,2143,1926,2161,6725
Met_pos_1361,228.9668427,2.34664884,19514,16252,13540,14343,11469,12633,4463,8437,8698,5995,6342,8216,8419,8783,6303,4969,5666,5637,13646,8890,6091,4492,6216,5206,7256,4308,5723,5495,11625,7005,6723,4425,6091,3019,3130,10131,6209,4999,5060,5559,5112,5152,6531,6991,8760,7504,6563,7982,4826,5785,3523,4554,3028,1426,2945,1852,2933,5508,5145,3973,5099,NA,NA,2048,3810,3311,NA,2722,5037,1753,NA,NA,NA,NA,2910,2940,2405,2975,3144,1969,1542,2519,1616,1465,1982,1734,1639,2425,NA,1841,2799,1262,1640,1094,NA,NA,2019,1590,2707,2407,1343,1105,450,NA,NA,2519,2135,1928,2135,1900,2437,2449,3437,NA,3130,NA,2761,2218,3906,2555,3501,2889,3076,2996,5658,2523,2166,2598,2444,3052,3453,2297,5359,2984,3850,2780,1866,1675,1177,1376,2920,5997,2461,2899,3214,1577,1407,3197,4354,4411,3007,4471,5094,2063,1798,4320,4087,4351,4672,5059,4512,4725,4889,4030,NA,2656,13262,20609,22937,18301,7337,15977,20745,10991,11030,18044,14728,19953,6723,12774,13013,13460,7975,12260,11269,9736,NA,8444,8438,5988,7592,9969,8251,10600,308,7386,9031,7774,11676,12717,10745,13603,11580,9712,7209,8142,10958,6981,NA,NA,4694,8613,NA,2229,NA,9627,40515,5163,5764,5451,9000,10229,7926,30561,6864,8740,7447,6260,9787,8487,7656,8441,25897,8306,11142,7195,363,NA,7819,NA,7691,20262
Met_pos_1362,613.265686,16.1360651,29506,34783,19026,23857,20231,15313,22269,8589,17794,211,28749,13201,7466,885,9327,3880,5380,7392,15961,157,11381,947,888,15564,10015,7426,4023,1283,13762,4409,16011,9942,6430,12745,9473,11122,18460,493,6992,7599,10858,1023,21816,8375,13266,12116,7502,23633,10482,1555,12281,7374,2661,12968,7982,10315,2037,13452,1160,13405,14609,4047,2513,9481,7389,NA,5975,5284,11910,13037,14267,28491,14408,12463,24235,18671,266,20007,8412,24313,189,2520,8431,7185,8125,13709,23986,6416,30684,8576,7877,13211,17833,8337,14513,11148,14229,1267,34638,5803,11583,10253,20280,14106,13189,5577,8637,7046,17022,13558,20076,5899,38591,9628,8825,19680,17814,11696,10098,17849,21326,18998,365,16706,38149,14347,9938,17208,15947,7171,1869,49868,31687,14436,16224,19736,12057,15921,12706,9719,1714,31599,62996,7783,14136,13342,15466,8350,14387,7613,12682,13906,29725,318,14959,18819,13910,11280,18433,42549,951,19768,43063,6620,11018,14606,12188,6523,9431,14199,34794,10110,12754,4318,41732,890,556,2189,27251,11311,13964,3912,14760,34603,3994,10897,12122,16365,14275,7920,4822,6064,18502,13941,9701,15334,15044,8897,13434,18706,10717,12264,10927,30014,5409,6585,13159,3709,9102,17028,16574,14849,10621,7037,3521,9189,21926,7649,12829,10956,3046,9388,785,18923,549,11811,16379,25081,9731,5633,7794,2886,23773,1488,11405,5632,13850,12540,18093,27481,10888,33952
Met_pos_1363,429.117981,8.578413911,52074,55371,131569,62830,138178,66024,23862,33826,45383,16791,67744,30222,33027,22655,41492,37696,99230,30402,56605,45393,41348,25988,16464,24427,21223,62668,7005,69221,58619,35164,18887,13034,24159,24732,19370,56619,16738,44039,13327,16140,26371,21267,22094,35040,50034,23298,27922,7941,34116,868,13415,27207,5830,32181,39136,23091,28375,42838,14182,39166,3835,4559,5040,14840,16429,959,6663,1737,34981,7416,33747,10854,71185,18301,8888,11868,4785,28245,92612,17984,11060,18336,30712,29480,903,35273,18453,20500,9740,2256,2804,9901,8050,30368,19992,3513,15417,8969,22295,2093,14554,66348,25108,16130,7338,16334,27572,36719,15629,22534,21269,14292,28696,25332,15489,20678,15853,17125,14544,14833,19982,14164,31435,9915,76093,18565,18762,21286,17309,36642,24413,21086,112567,18043,27571,32279,4660,9104,13813,22214,7643,41025,9292,28311,26589,7678,12227,28768,10784,23712,24154,27036,34229,8883,40752,20087,5850,12691,8998,11879,8747,10658,36202,5692,7789,3533,16145,2127,9263,7265,29911,12831,15797,9117,25382,2936,9369,23835,46495,19308,18564,12176,45445,51267,10868,19081,24408,5689,20665,4511,40732,2153,68101,2862,35812,24481,49522,18159,13948,9585,5504,1970,1353,50834,19071,15656,23213,10788,13293,34184,22531,15267,37472,7557,7409,15769,174064,6956,17077,16232,34537,6431,3685,187838,12526,3056,14065,29375,10993,15952,12360,5833,163964,29571,5859,12318,23431,6758,5510,1159,8572,102432
Met_pos_1365,936.4959717,12.02304423,130595,121334,130032,119898,109671,113315,13576,16351,11290,29494,15181,11199,NA,19835,NA,3811,NA,69828,131074,14635,51226,17405,42497,22597,309647,127911,50230,23327,127251,8180,47297,67519,60798,64389,226284,118612,33917,5508,26662,22480,46602,16603,16584,22479,108155,14488,8525,NA,96307,86737,43264,18209,111600,28936,32604,3260,NA,96717,673,4654,78430,13745,30226,1046,12082,64724,45849,80103,109476,170768,67058,29644,NA,39320,66623,39568,31765,21548,112269,21972,25737,26994,13049,10074,102201,143880,75471,93203,105851,59173,42601,79845,36436,13218,21589,358154,82977,54327,352455,87198,NA,2115,3981,23451,60032,16385,4963,2890,NA,NA,5142,42631,355337,188559,370535,29066,8811,6289,NA,34876,39513,NA,NA,39472,101859,7742,NA,NA,15583,1666,4343,NA,98920,153237,NA,19743,208626,65953,347850,20594,219188,380725,4723,4348,4018,167701,47573,125723,17448,43802,142593,64837,101635,76090,69344,19638,17625,42900,58124,29870,82025,3229,96472,48598,108520,125495,89150,25984,19637,7708,88807,10103,6768,11674,19526,70547,153260,531,88594,92995,20426,51452,10154,NA,27633,22683,59665,213040,25624,64419,372613,40738,43107,68938,18267,58664,21078,40396,38703,89912,21367,8832,134831,79528,50536,14730,24135,103697,14503,139300,128953,55993,88540,73590,505336,423463,359608,50472,202682,20772,4401,59019,239317,411228,16914,67046,237959,51030,36688,10338,14004,18860,343143,19837,51663,59520,32659,107190,236199,30030,38507,285908
Met_pos_1366,187.0365906,1.636818745,2386,1464,911,1808,1799,19887,NA,1738,1086,NA,4119,1506,1856,2637,1880,5587,1286,2401,18220,6416,2561,1726,NA,1391,1755,NA,NA,NA,16458,1689,NA,NA,2476,NA,526,17865,1431,2020,2334,2747,2674,1503,NA,2136,13839,NA,2948,1463,NA,NA,1578,1606,1985,NA,1516,1043,NA,12343,12943,NA,NA,NA,NA,418,NA,NA,NA,NA,8646,1153,NA,NA,2895,1239,1042,NA,NA,NA,6181,NA,1828,848,531,904,NA,285,NA,1371,NA,854,550,497,619,NA,NA,294,593,717,4569,NA,3489,1145,1610,NA,2042,NA,NA,1329,1899,511,1036,1203,8092,NA,NA,NA,1386,1001,NA,NA,NA,678,1033,NA,1806,NA,NA,NA,NA,2226,NA,NA,11158,NA,NA,NA,NA,NA,NA,782,NA,12445,NA,NA,NA,1609,NA,1375,1306,NA,944,NA,9576,NA,1196,1442,1874,1858,617,NA,NA,861,13344,814,1366,1407,1301,1813,1851,1111,9321,NA,5497,NA,NA,NA,NA,1793,13627,1663,NA,NA,NA,1128,2021,1116,NA,NA,1653,NA,582,1385,1820,1189,NA,NA,1581,NA,965,NA,1060,1352,2685,12988,NA,2330,NA,NA,770,1194,2310,NA,NA,1124,2090,1683,2378,1391,1511,1616,892,835,NA,17158,NA,1008,2702,NA,2002,1107,1441,1145,23690,NA,NA,NA,NA,534,2012,389,1250,1383
Met_pos_1367,423.1797791,5.716978919,2086,23099,25042,19856,25932,27636,7457,741,155,10679,11880,4439,785,6796,8814,13558,6684,14723,20476,17783,1155,13323,16994,12434,10005,13175,10486,5340,23450,10070,17454,489,16574,12810,9952,33077,1001,285,757,6401,12371,5768,11956,10439,19604,1713,9806,2096,599,5386,6767,1175,89,8049,6434,6982,9485,23954,13886,1260,3561,632,9345,393,8324,8516,12208,4651,25580,11268,182,3286,5173,11000,89,713,410,155,20580,6577,1151,1692,4372,1563,4733,5696,5175,20107,3712,216,6575,4327,2689,147,979,5038,4571,5295,338,2761,522,132,7489,4735,3085,5310,4939,4927,3126,5195,7407,4819,15053,3396,4001,4727,5039,6030,6657,6375,5031,3993,362,3817,19050,4325,4120,7721,2157,639,5462,3124,2459,5798,8636,5133,1343,1244,4768,1645,1700,24712,4269,154,5078,7466,6958,279,3300,86,5361,5360,19672,171,830,2691,2348,1264,3208,1774,1215,2829,21173,4798,1859,5177,4206,5391,5563,3874,13786,NA,6147,9716,12178,306,5317,9239,14657,2904,879,2238,5610,1276,8879,6707,6101,349,6014,5392,19075,5620,8254,5574,4909,6074,11272,6117,8449,6024,5150,5815,7434,11324,9534,6361,5936,4267,3732,11183,5344,3054,3329,4697,9881,7607,21279,10434,5789,13822,5206,21,4693,23239,8290,3807,8618,10477,6209,75,3618,4277,36147,5138,3317,5858,900,297,9753,5738,41,35429
Met_pos_1368,351.2529602,13.15263212,159452,187275,187512,191722,131429,172704,26361,84,47326,345,30640,83313,95299,95243,129973,35738,57495,845,177987,53828,54168,83619,66389,75732,630,48064,26775,28028,176678,37404,55101,40976,51550,2038,1042,186329,2000,37109,36848,73706,113741,39063,1899,844,155803,29312,41777,54515,702,1070,202,45456,76017,23667,30209,37332,38971,160767,2573,90765,25,25510,337,70,57357,397,732,48867,166731,47342,21213,18499,19114,25837,31677,690,31945,33039,161448,94,38680,231,31650,29735,30967,964,313,155565,22673,38370,54183,44637,34871,236,28486,10135,58541,56611,147377,18466,20426,31277,29170,596,320,20527,25096,365,22892,543,828,14217,145964,13724,42907,302,48292,55859,55068,50467,79,2003,28196,54,173401,18952,1500,27861,26249,20,598,418,147679,33509,218,16465,30426,35278,22723,20114,35964,162137,48,901,29,30379,26877,586,64941,44528,64086,42608,159087,42526,32111,267,61539,32200,44587,46,30680,357,176171,13388,14827,37753,35072,23864,52975,47501,163835,57407,69406,20551,22224,78,59258,5752,160135,32295,28374,38664,58396,83262,63131,179440,29701,58712,1771,51406,159568,25875,27748,19590,26638,33122,109724,32765,54617,47128,30585,25394,51849,179307,20757,13051,27387,8641,191,51875,332,36612,178,27908,765,28034,191878,22245,790,161619,75477,15666,23648,194489,30419,29205,19027,27047,54586,42693,20389,19534,198357,20128,21199,42088,514,59277,70777,44126,34959,191390
Met_pos_1369,295.1903992,14.41998524,NA,NA,NA,10712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5871,NA,NA,NA,1871,NA,NA,NA,NA,NA,2384,NA,2022,NA,NA,NA,NA,3650,NA,NA,5391,NA,NA,5613,NA,NA,NA,NA,1589,3971,3144,NA,NA,NA,NA,NA,3250,NA,NA,NA,NA,NA,1797,2836,NA,1733,NA,5258,3500,2855,NA,NA,3151,NA,2321,NA,NA,NA,5483,4262,5225,NA,1341,2888,NA,NA,NA,NA,1800,1708,NA,2806,4694,2268,3174,NA,NA,3175,NA,5361,NA,NA,2312,4276,NA,NA,NA,5879,NA,4981,NA,1960,6947,NA,3969,NA,4474,4138,NA,NA,5514,1955,NA,3852,NA,NA,1894,NA,3872,1772,NA,2302,2738,5801,3893,2341,2199,1177,3707,NA,NA,2642,2270,4143,1253,NA,NA,1153,NA,NA,NA,1584,NA,2281,NA,1948,1574,1068,894,1883,NA,3094,1921,3300,3772,4518,2633,NA,NA,3067,NA,3591,5074,3596,3283,6052,NA,2935,10387,4699,NA,NA,NA,NA,686,2678,4973,2429,NA,2085,2707,1661,NA,3094,NA,NA,NA,NA,NA,1971,2291,6207,NA,3226,2726,434,3579,NA,NA,NA,NA,3505,1605,3753,NA,1067,1463,NA,4553,5837,1999,NA,1194,891,NA,2526,5702,NA,988,590,NA,7982,1353,2264,NA,NA,1320,8392,663,NA
Met_pos_137,627.461792,18.54099696,5640670,5937728,5952756,5946434,6031964,5900893,778986,453640,1003769,1066475,449206,821457,396441,576965,255548,54253,534065,478125,5892098,106992,1281124,389968,744973,981859,981472,534036,859549,176424,6154068,511812,1268782,441423,615013,1261360,1104954,5943823,1120327,805236,638995,975216,1371683,5111,537866,230913,5963598,560943,626076,458173,494830,356905,584535,380423,241114,416521,271687,35250,288891,5896400,37,80977,1223028,698430,1120142,591527,519865,1486306,1404806,190862,5591702,1940774,3193217,1541930,1472342,1842978,2468687,2285690,1876565,424829,5594366,919608,1163367,1131962,1057324,575805,1839140,1234030,1653147,5928128,1449812,99785,1517038,1321455,27611,577015,639065,1356095,133220,1569867,6058193,2055390,1098051,390482,657263,966588,1286222,406012,595350,615248,617757,830587,584391,735655,5881906,2164493,1243672,819767,745789,469779,318699,395252,733820,341693,169,1046345,5421179,886825,903599,653591,404335,227,509556,1077352,5579170,739436,211860,562554,1624698,1603783,1239684,774558,869446,5387798,538809,552908,243849,1073702,563966,1383237,720794,182749,955317,765786,5632069,1130764,1651901,1547981,2043335,2051760,1039730,1798016,1288687,1557437,5676213,1173052,959656,1794904,938488,298102,126366,972005,5566443,301026,53068,528154,901566,361147,1197667,148,5614806,505550,248731,752425,674298,356648,24841,25973,1235932,856810,1188308,1132246,5643873,990643,1080143,757469,1210466,668509,768249,926053,420573,1196186,810116,690325,692565,5899117,778970,338857,644981,1554295,18893,1035870,1475441,1120299,1280102,1266969,1496011,1399497,5013763,1001518,603935,295993,190796,97593,584083,5155511,348008,527119,472873,750073,651370,305544,998227,199835,4730835,455213,476660,335598,539132,1117028,636611,263790,447088,4018631
Met_pos_1370,249.1849365,13.00851713,70303,88914,76893,70809,85596,82508,18788,17429,32859,17140,39517,21486,54885,21744,46468,22803,26325,25826,88418,33256,24531,31769,17077,35545,16275,33116,18682,34728,79592,29365,19226,12007,22586,19335,15937,77899,12757,20166,14108,26400,42931,11144,19639,34729,85132,2998,22376,30996,13679,12830,2301,19954,1172,30833,2791,22408,30245,84506,23174,49893,9356,36121,9922,33305,18760,1410,14626,9353,67310,19376,13642,22546,27370,23921,7512,21888,8920,41996,74192,39397,24784,36067,15361,30564,3285,20939,9706,65325,17754,11673,10060,5542,11421,31722,35759,4660,9847,17323,52223,8751,6831,60407,8849,27432,3520,21576,14235,19968,6697,24242,20490,19321,50967,12302,9997,22588,9925,20823,17340,18215,17973,16331,27266,15975,78146,16861,22926,14930,20062,32164,23501,902,64125,27903,32479,19567,18213,16094,24292,12543,7223,52098,22608,26628,36731,24925,20499,9110,31710,21831,19436,27932,67340,11977,19453,5116,12563,7085,7967,13726,8433,9237,54256,270,5877,10799,14150,1621,12746,7394,54446,15567,66764,13831,8249,11351,1554,14048,60725,25605,26194,15161,42452,25115,23539,70495,2504,26519,18751,27143,75141,5604,24697,15470,5725,24076,72295,16352,18397,8949,10546,7216,NA,73560,9699,10842,11316,5810,20355,20697,6773,9013,23900,17594,1404,5155,4197,14088,21127,39075,9259,NA,1849,100421,2478,3515,17902,12448,13080,29968,7745,3507,96014,18346,5508,15340,14623,3692,17209,3660,13135,103734
Met_pos_1373,247.1691895,13.52690745,53827,43852,36681,36974,37484,41035,22981,17785,10617,4816,14280,14689,11580,11111,20110,24348,22435,13333,52094,15443,18710,15945,21536,19155,11894,18999,9076,6405,43058,12482,10765,12451,13350,13543,31967,8375,10476,12290,3643,11282,10435,12872,8169,17309,49533,10764,8827,13561,10569,2355,8912,3715,7542,26785,34135,22180,30394,49980,7556,30424,2283,14598,6540,17851,3538,9972,9185,8444,52876,17853,3968,11915,6291,12721,4260,4562,9722,28919,56170,10956,27403,25158,17324,25218,8577,17335,4538,51497,8570,8416,7634,9735,6930,39626,25100,13910,10546,14433,57749,7394,22291,44093,9568,31737,6686,10358,21954,21829,18902,34156,25287,9497,62484,22026,13049,16968,12174,35811,29157,21090,10079,11317,18957,8212,7273,13382,31099,18376,22232,29555,13258,34494,51651,20420,35730,26162,7448,10599,18690,16297,11641,42638,20446,30722,54013,4642,5764,14451,13623,11647,19113,13127,37860,15596,14657,15000,13111,12354,9760,5925,4622,10221,54479,3085,4194,14246,10547,3966,9465,3256,37557,6682,14937,8987,13738,2384,9915,7551,47251,10655,13987,7376,13505,8350,9020,11861,15713,8476,10199,8620,10994,3691,8392,4538,10528,13054,25669,11751,12579,4760,7335,NA,NA,40954,10055,3376,7099,5782,4591,14907,5629,1228,879,5104,10868,6036,49999,7935,4405,9327,8611,4313,1145,45364,10965,11706,8645,8245,4718,9381,5916,20293,50487,8923,3999,4545,26550,6069,10697,5111,10006,45673
Met_pos_1374,293.2109985,11.220477,NA,NA,NA,NA,8973,NA,6076,NA,3052,2572,NA,NA,4673,1276,NA,5175,NA,11412,NA,NA,NA,NA,2663,4606,1348,NA,764,NA,NA,2718,3482,4245,1530,NA,NA,NA,4270,NA,NA,5414,NA,2310,4663,NA,NA,1603,1313,NA,1610,1191,6265,NA,2325,2152,4902,NA,NA,NA,3855,4305,2423,NA,5145,1903,2618,95,1824,1387,NA,1066,NA,4903,1633,4651,411,3605,733,NA,NA,4304,2282,4132,1854,1528,2371,952,869,NA,NA,4085,1014,2846,4745,NA,1789,5078,379,4131,9458,385,6232,NA,2788,3329,2115,NA,1773,1557,1529,4726,3676,1157,6526,3340,1197,7024,3498,NA,1851,NA,NA,3630,4389,NA,NA,356,3976,4936,NA,5494,2223,1706,12556,NA,NA,1229,4901,3642,NA,3451,1508,8338,NA,NA,2577,3704,2939,1560,3193,1046,3781,NA,NA,1741,1304,5166,1806,1218,NA,876,2846,1323,NA,3640,2244,1837,2028,2863,1657,4390,NA,3514,1775,NA,NA,2035,NA,5214,NA,NA,NA,1273,3710,NA,NA,3530,NA,3516,4127,NA,5556,1821,2857,771,5035,NA,5479,NA,3115,NA,2072,40,145,7794,4220,1852,3875,NA,6612,5632,1343,7204,2100,3810,2443,NA,NA,1807,3988,4607,1678,4510,828,7850,1932,1009,2351,824,2022,3429,2487,NA,NA,4879,732,1578,849,1768,NA,NA,NA,NA
Met_pos_1377,369.1178284,5.369844348,274718,290950,281869,294592,262989,285632,44993,43814,33132,28087,70036,51400,37620,53568,22935,109370,97278,69243,200775,43216,116413,91479,91950,112185,107305,66241,108049,19570,311248,71182,123092,97022,71792,128200,155900,292585,22474,40970,47220,28497,74072,38998,22235,40897,255399,34013,28906,69640,28910,44453,19856,49476,52976,40003,26622,29955,NA,52442,287833,236196,67195,64379,48202,21922,41329,31760,238761,53441,230005,69113,111745,32487,14043,35478,101224,206057,137152,64144,199652,31863,91665,70579,94356,90631,32059,58360,52031,213202,28225,16494,27802,33995,40884,14192,34434,16402,39859,45621,193205,17486,66428,44681,28008,87183,7045,16701,7026,46963,5733,6067,NA,30071,216573,60565,35695,65244,11783,16205,1958,17917,30934,8689,19835,9717,241520,5356,6590,9938,38015,21567,2590,NA,256353,26054,9447,19623,105888,78999,80958,36113,59639,229938,NA,14902,18635,128190,92286,47314,53027,66687,74655,43797,242995,130089,128609,18506,22807,16332,13996,19045,35090,19884,273716,26106,28200,62075,161290,21163,35768,24643,189379,46497,56088,81378,83959,51443,56313,55528,255739,107884,56714,39819,58860,67053,64897,63440,166365,85955,60478,127302,251670,42336,180109,90712,97519,98119,114144,64048,43015,49377,69222,27632,27155,258780,92309,84453,57851,60281,50987,43880,86006,58982,45050,162545,94213,109184,357093,109771,201631,187888,69657,27698,44266,393280,183958,41367,57970,59854,61082,128098,74891,67784,343065,31970,64235,57825,51027,45932,74054,48599,116687,369199
Met_pos_1378,543.2070923,9.183222618,20570,65234,14520,71108,69056,18730,20147,9350,17083,2890,5879,23100,5677,5394,23837,8776,3445,9091,68830,4974,28195,25939,20593,19783,27742,12876,21057,6691,12496,19862,29734,5179,28251,15500,4535,79112,2703,8191,13010,17256,3692,12889,10981,6815,9077,12654,17263,8515,8038,NA,15750,16566,16581,16696,16103,11351,12441,47031,60907,6003,18049,8568,15596,9380,9223,3203,3738,11561,13554,2389,31991,9028,19684,8322,12542,22572,21724,23355,31628,10800,15294,8616,9613,9117,12712,11304,12345,54133,7463,9769,6696,8878,4469,19568,14298,11906,3212,2342,57451,2263,10944,18940,15554,15839,9534,14697,20335,12466,9869,8200,9890,NA,31556,5942,17778,2931,7377,7681,2710,12684,5913,7893,8758,18255,13352,8904,4315,15923,26741,34552,21667,3635,56369,18618,3146,9403,11604,4443,5251,5183,14892,15778,8414,NA,6222,3454,19706,3473,23519,13220,20697,4481,55455,13591,3505,3114,13171,20344,12007,1928,NA,2308,64214,1244,NA,2151,6034,1821,9228,7486,12707,4840,12008,31184,7106,11083,12517,9423,13571,14567,16588,24562,21935,3104,10255,25251,10262,6839,4712,6113,14391,1040,9141,12674,15588,16047,6100,4536,24439,16332,16354,11120,22152,20779,9193,23205,12597,12648,14604,1941,6208,7402,6670,12071,23102,22664,23188,12204,6657,25813,3518,14137,10994,23208,NA,16705,5066,33851,20219,11852,2994,1791,52625,9773,14989,21341,13186,8880,3838,1079,24974,24122
Met_pos_1379,225.1485138,6.472320738,NA,11310,17537,16158,14609,10172,NA,NA,NA,NA,NA,9745,NA,7602,NA,4564,5743,NA,17292,NA,4109,7763,8022,NA,NA,NA,NA,NA,12925,7357,NA,NA,NA,NA,NA,NA,4295,NA,NA,NA,7425,NA,NA,NA,10881,NA,NA,NA,4460,NA,7169,9692,NA,NA,NA,4670,NA,7898,9732,NA,NA,NA,NA,NA,NA,NA,NA,NA,6428,NA,NA,NA,2746,NA,NA,NA,NA,3123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5279,3245,NA,NA,NA,NA,4457,NA,NA,NA,NA,NA,NA,NA,NA,NA,3882,NA,NA,NA,1935,NA,NA,3002,4876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7600,NA,NA,NA,5232,NA,NA,NA,NA,4874,NA,NA,4583,3921,NA,NA,NA,NA,NA,NA,5280,NA,NA,3729,NA,NA,2469,NA,5170,NA,5169,NA,NA,NA,NA,NA,5467,NA,4188,6475,NA,NA,NA,NA,NA,NA,5067,6852,NA,NA,NA,NA,NA,2323,2103,NA,NA,NA,8904,5396,NA,NA,NA,NA,2600,NA,2731,NA,NA,NA,NA,4512,NA,NA,NA,NA,NA,NA,NA,NA,NA,7017,8207,NA,10961,NA,NA,NA,10826,3829,NA,9007,NA,7628,NA,NA,NA,2805,NA,3156,15981,4621,NA,NA,NA,NA,NA,NA,NA,12642
